Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
6/29/2013,7:00:00,2013-06-29 07:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2013,8:30:00,2013-06-30 08:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2013,7:30:00,2013-07-01 07:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2013,12:31:00,2013-07-02 12:31:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2013,9:00:00,2013-07-03 09:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2013,7:30:00,2013-07-04 07:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2013,22:35:00,2013-07-08 22:35:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2013,23:45:00,2013-07-09 23:45:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2013,23:27:00,2013-07-11 23:27:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2013,15:41:00,2013-07-13 15:41:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2013,22:48:00,2013-07-14 22:48:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2013,7:00:00,2013-07-15 07:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2013,7:55:00,2013-07-17 07:55:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2013,8:40:00,2013-07-18 08:40:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2013,8:00:00,2013-07-19 08:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2013,16:00:00,2013-07-20 16:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2013,23:06:00,2013-07-21 23:06:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2013,18:25:00,2013-07-22 18:25:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2013,8:08:00,2013-07-23 08:08:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2013,7:49:00,2013-07-24 07:49:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2013,8:23:00,2013-07-25 08:23:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2013,15:45:00,2013-07-27 15:45:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/30/2013,7:04:00,2013-07-30 07:04:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2013,8:12:00,2013-07-31 08:12:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2013,9:09:00,2013-08-01 09:09:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2013,23:00:00,2013-08-02 23:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2013,23:23:00,2013-08-03 23:23:00,FAD704DWD,unknown,15.72,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2013,12:41:00,2013-08-04 12:41:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2013,4:51:00,2013-08-21 04:51:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2013,6:08:00,2013-08-22 06:08:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2013,22:41:00,2013-08-22 22:41:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2013,7:36:00,2013-08-25 07:36:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2013,6:51:00,2013-08-26 06:51:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/27/2013,7:16:00,2013-08-27 07:16:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2013,8:27:00,2013-08-29 08:27:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/30/2013,22:00:00,2013-08-30 22:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2014,23:47:00,2014-09-12 23:47:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/13/2014,12:03:00,2014-09-13 12:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/14/2014,11:00:00,2014-09-14 11:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2014,8:22:00,2014-09-15 08:22:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2014,9:01:00,2014-09-16 09:01:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2014,18:00:00,2014-09-18 18:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/19/2014,6:34:00,2014-09-19 06:34:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/20/2014,21:41:00,2014-09-20 21:41:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2014,11:45:00,2014-09-21 11:45:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2014,7:25:00,2014-09-22 07:25:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2014,21:33:00,2014-09-23 21:33:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/24/2014,19:08:00,2014-09-24 19:08:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
9/26/2014,22:40:00,2014-09-26 22:40:00,FAD704DWD,unknown,,,,,,,,,,,,,,,,,,,,,,,,,
