Start Date,End Date,Start Time,End Time,hours,kWh T,kWh D,kWh/day,pt,pt/hr,pt/day,pt/kWh,kWh/pt,L/kWh,Setting RH,Actual RH,Notes
,,,,9.05,,,,12,1.326,31.82,,,,,,"At 40% r.h. On high, with w.h. Working."
08/01/12,8/2/2012,6:30:00 PM,8:30:00 PM,14,0.33,0.33,0.57,0.5,0.036,0.86,1.52,0.660,0.717,45.000,40.000,"Below, have air-sealed the basement, so the humidity load is much lower than previous years. Here, I get about 7.3 L/day H2O, before, estimated 11.4 L/day"
06/29/13,,7:00:00 AM,,23.04,10.26,10.26,10.69,16.4,0.712,17.08,1.60,0.626,0.756,,45,
06/30/13,,8:30:00 AM,,48.38,19.86,9.6,9.85,16.4,0.647,15.53,1.71,0.585,0.808,,45,
07/01/13,,7:30:00 AM,,71.4,29.07,9.21,9.77,16.4,0.712,17.10,1.78,0.562,0.842,,45,
07/02/13,,12:31:00 PM,,88.42,37.71,8.64,10.24,16.4,0.964,23.13,1.90,0.527,0.898,,47,
07/03/13,,9:00:00 AM,,121,44.9,7.19,8.91,16.4,0.503,12.08,2.28,0.438,1.079,,44,
07/04/13,,7:30:00 AM,,143,46.96,9.25,7.88,16.4,0.745,17.89,1.77,0.564,0.839,,40,
07/08/13,,10:35:00 PM,,254,79.91,8.2375,7.55,16.4,0.148,3.55,1.99,0.502,0.942,,47,
07/09/13,,11:45:00 PM,,279,89.4,9.49,7.69,16.4,0.656,15.74,1.73,0.579,0.817,,47,
07/11/13,,11:27:00 PM,,327,97.4,8,7.15,16.4,0.342,8.20,2.05,0.488,0.970,,46,
07/13/13,,3:41:00 PM,,367,107,9.6,7.00,16.4,0.410,9.84,1.71,0.585,0.808,,44,
07/14/13,,10:48:00 PM,,399,117,10,7.04,16.4,0.513,12.30,1.64,0.610,0.776,,46,
07/15/13,,7:00:00 AM,,431,126,9,7.02,16.4,0.513,12.30,1.82,0.549,0.862,,46,
07/17/13,,7:55:00 AM,,456,135,9,7.11,16.4,0.656,15.74,1.82,0.549,0.862,,46,
07/18/13,,8:40:00 AM,,480,142,7,7.10,16.4,0.683,16.40,2.34,0.427,1.108,,48,
07/19/13,,8:00:00 AM,,504,149,7,7.10,16.4,0.683,16.40,2.34,0.427,1.108,,48,
07/20/13,,4:00:00 PM,,536,157,8,7.03,16.4,0.513,12.30,2.05,0.488,0.970,,48,
07/21/13,,11:06:00 PM,,567,164,7,6.94,16.4,0.529,12.70,2.34,0.427,1.108,,49,
07/22/13,,6:25:00 PM,,586,172,8,7.04,16.4,0.863,20.72,2.05,0.488,0.970,,47,
07/23/13,,8:08:00 AM,,600,180,8,7.20,16.4,1.171,28.11,2.05,0.488,0.970,,41,
07/24/13,,7:49:00 AM,,624,189,9,7.27,16.4,0.683,16.40,1.82,0.549,0.862,,46,
07/25/13,,8:23:00 AM,,648,197,8,7.30,16.4,0.683,16.40,2.05,0.488,0.970,,48,
07/27/13,,3:45:00 PM,,704,206,9,7.02,16.4,0.293,7.03,1.82,0.549,0.862,,48,
07/30/13,,7:04:00 AM,,767,213,7,6.66,16.4,0.260,6.25,2.34,0.427,1.108,,48,
07/31/13,,8:12:00 AM,,792,222,9,6.73,16.4,0.656,15.74,1.82,0.549,0.862,,43,
08/01/13,,9:09:00 AM,,817,232,10,6.82,16.4,0.656,15.74,1.64,0.610,0.776,,41,
08/02/13,,11:00:00 PM,,855,244,12,6.85,16.4,0.432,10.36,1.37,0.732,0.646,,43,
08/03/13,,11:23:00 PM,,879,254,10,6.94,16.4,0.683,16.40,1.64,0.610,0.776,,38,
